I17_kodas_is,I17_kodas_ps,I17_kodas_os,I17_serija  ,I17_kodas_us_a,I17_kodas_us,I17_frakcija,I17_kiekis      ,I17_atiduota    ,I17_rezervas    ,I17_pard_uzs    ,I17_pirk_uzs    ,I17_suma      ,I17_p_pir_k   ,I17_p_pir_d         ,I17_p_par_k   ,I17_p_par_d         ,I17_vid_uzs     ,I17_reikalavimas,I17_kelyje      ,I17_kaina     ,I17_useris  ,I17_addusr  ,I17_r_date          ,Kiekis_a                      ,Kiekis_p                      ,Kiekis_at                     ,Kiekis_re                     ,Bar_kodas   ,P_pav                                                                                                                   ,Kaina         ,Kiekis_ke                     ,Kiekis_fi                     ,Kiekis_piu                    ,Kiekis_pru                    ,N17_kodas_ls_1,N17_kodas_ls_2,N17_kodas_ls_3,N17_kodas_ls_4,N17_kodas_ls_5,N17_kodas_ls_6,N17_kodas_ls_7,N17_kodas_ls_8,P_pavu                                                                                                                                                ,Men_pav                                                                                                                                               ,N17_kod_t                ,N17_kod_t1               ,N17_kod_t2               ,Sav_kaina     ,N17_kodas_ks,N17_kodas_gs,N37_koefici     ,N37_frakcija_a,I33_kodas_ps,I33_kodas_is,I33_kodas_us,I33_kaina     ,I33_kaina_new ,I33_ppk       ,I33_ppk_date        ,I33_kodas_vl,I33_ppk_val         ,I33_ppk_sav   ,I33_ppk_sav_date    ,I33_addusr  ,I33_useris  ,I33_r_date          ,I33_formatas,I33_poz,I33_kaina_baz ,I33_poz_pos,I33_nuol_gr,I33_max_nuol  ,I33_poz_date,I33_beg_date        ,I33_end_date        ,I33_nuolaida  ,I33_kaina_date      ,N17_kodas_ps
3,V-0001      ,24-SR25     ,            ,VNT           ,VNT         ,1,21,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,               21   VNT.......,               21   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, be simboliø                                                                 ",0,                              ,21,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0001      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0001      
8,V-0001      ,24-SR25     ,            ,VNT           ,VNT         ,1,4,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                4   VNT.......,                4   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, be simboliø                                                                 ",0,                              ,4,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0001      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0001      
3,V-0002      ,24-SR25     ,            ,VNT           ,VNT         ,1,15,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               15   VNT.......,               15   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, deðinë rodyklë                                                              ",0,                              ,15,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0002      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0002      
3,V-0003      ,24-SR25     ,            ,VNT           ,VNT         ,1,6,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,                6   VNT.......,                6   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, kairë rodyklë                                                               ",0,                              ,6,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0003      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0003      
8,V-0003      ,24-SR25     ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                1   VNT.......,                1   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, kairë rodyklë                                                               ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0003      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0003      
3,V-0004      ,24-SR25     ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,                1   VNT.......,                1   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, viena sekcija, kairë rodyklë                                                               ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0004      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0004      
3,V-0005      ,24-SR25     ,            ,VNT           ,VNT         ,1,3,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,                3   VNT.......,                3   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, viena sekcija, deðinë rodyklë                                                              ",0,                              ,3,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0005      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0005      
3,V-0006      ,24-SR25     ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,                1   VNT.......,                1   VNT.......,0,0,0,"Ðviesoforas Spinnea, 300 mm, trys sekcijos, rodyklë tiesiai + á kairæ                                                   ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0006      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0006      
3,V-0007      ,24-SR25     ,            ,VNT           ,VNT         ,1,29,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               29   VNT.......,               29   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, trys sekcijos, be simboliø                                                                 ",0,                              ,29,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0007      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0007      
3,V-0008      ,24-SR25     ,            ,VNT           ,VNT         ,1,10,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               10   VNT.......,               10   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, trys sekcijos, kairë rodyklë                                                               ",0,                              ,10,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0008      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0008      
3,V-0009      ,24-SR25     ,            ,VNT           ,VNT         ,1,41,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,               41   VNT.......,               41   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, dvi sekcijos, þenklas pëstysis + dviratis                                                  ",0,                              ,41,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0009      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0009      
8,V-0009      ,24-SR25     ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                1   VNT.......,                1   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, dvi sekcijos, þenklas pëstysis + dviratis                                                  ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0009      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0009      
3,V-0010      ,24-SR25     ,            ,VNT           ,VNT         ,1,10,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               10   VNT.......,               10   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, dvi sekcijos, þenklas pëstysis                                                             ",0,                              ,10,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0010      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0010      
3,V-0011      ,24-SR25     ,            ,VNT           ,VNT         ,1,14,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               14   VNT.......,               14   VNT.......,0,0,0,"Plastikinis dangtelis ðviesoforui Spinnea, 200 mm, stovintis þmogeliukas                                                ",0,                              ,14,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0011      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0011      
3,V-0012      ,24-SR25     ,            ,VNT           ,VNT         ,1,14,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               14   VNT.......,               14   VNT.......,0,0,0,"Plastikinis dangtelis ðviesoforui Spinnea, 200 mm, einantis þmogeliukas                                                 ",0,                              ,14,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0012      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0012      
3,V-0013      ,24-SR25     ,            ,VNT           ,VNT         ,1,304,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,              304   VNT.......,              304   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë' Spinnea, 200 mm                                                                                   ",0,                              ,304,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0013      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0013      
8,V-0013      ,24-SR25     ,            ,VNT           ,VNT         ,1,2,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                2   VNT.......,                2   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë' Spinnea, 200 mm                                                                                   ",0,                              ,2,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0013      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0013      
3,V-0014      ,24-SR25     ,            ,VNT           ,VNT         ,1,122,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,              122   VNT.......,              122   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë'  Spinnea, 300 mm                                                                                  ",0,                              ,122,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0014      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0014      
8,V-0014      ,24-SR25     ,            ,VNT           ,VNT         ,1,16,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,               16   VNT.......,               16   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë'  Spinnea, 300 mm                                                                                  ",0,                              ,16,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0014      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0014      
3,V-0015      ,24-SR25     ,            ,KOMPL.        ,KOMPL.      ,1,153,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,                  153   KOMPL.,                  153   KOMPL.,0,0,0,Ðviesoforo tvirtinimo elementai Spinnea                                                                                 ,0,                              ,153,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0015      ,3,KOMPL.      ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0015      
8,V-0015      ,24-SR25     ,            ,KOMPL.        ,KOMPL.      ,1,6,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                    6   KOMPL.,                    6   KOMPL.,0,0,0,Ðviesoforo tvirtinimo elementai Spinnea                                                                                 ,0,                              ,6,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0015      ,8,KOMPL.      ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0015      
3,V-0016      ,24-SR25     ,            ,VNT           ,VNT         ,1,19,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               19   VNT.......,               19   VNT.......,0,0,0,"Komutacinë dëþutë Plastim PP3002, 250 mm x 350 mm x 150 mm, RAL 7035                                                    ",0,                              ,19,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0016      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0016      
3,V-0017      ,24-SR25     ,            ,VNT           ,VNT         ,1,34,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 09:31    ,               34   VNT.......,               34   VNT.......,0,0,0,"Garsinis signalas RTB, BLX Kombi                                                                                        ",0,                              ,34,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0017      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 09:31    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0017      
3,V-0018      ,24-SR25     ,            ,VNT           ,VNT         ,1,70,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 09:31    ,               70   VNT.......,               70   VNT.......,0,0,0,Pësèiøjø sensorinis mygtukas RTB                                                                                        ,0,                              ,70,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0018      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 09:31    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0018      
3,V-0019      ,            ,            ,VNT           ,VNT         ,1,34,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,               34   VNT.......,               34   VNT.......,0,0,0,"Daþai Maestria 30 kg, balti                                                                                             ",0,                              ,34,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0019      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0019      
3,V-0020      ,            ,            ,VNT           ,VNT         ,1,17,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,               17   VNT.......,               17   VNT.......,0,0,0,"Daþai Maestria 30 kg, nenustatytos spalvos                                                                              ",0,                              ,17,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0020      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0020      
3,V-0021      ,            ,            ,VNT           ,VNT         ,1,10,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,               10   VNT.......,               10   VNT.......,0,0,0,"Daþai Maestria 30 kg, mëlyni                                                                                            ",0,                              ,10,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0021      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0021      
3,V-0022      ,            ,            ,VNT           ,VNT         ,1,2,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,                2   VNT.......,                2   VNT.......,0,0,0,"Daþai Maestria 30 kg, RAL 5012                                                                                          ",0,                              ,2,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0022      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0022      
3,V-0023      ,            ,            ,VNT           ,VNT         ,1,2,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,                2   VNT.......,                2   VNT.......,0,0,0,"Daþai Maestria 30 kg, RAL 4003                                                                                          ",0,                              ,2,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0023      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0023      
3,V-0024      ,            ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,                1   VNT.......,                1   VNT.......,0,0,0,"Daþai Maestria 30 kg, RAL 6024                                                                                          ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0024      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0024      
3,V-0025      ,            ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.05.02 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,                1   VNT.......,                1   VNT.......,0,0,0,"Daþai Maestria 30 kg, RAL 5021                                                                                          ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0025      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.02 10:43    ,0,       ,0,1,           ,0,0,2025.05.02 00:00    ,2025.05.02 00:00    ,0,1900.01.01 00:00    ,V-0025      
